Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,60.9
Super built-up  Area,Not yet Ready,TC Palaya,3,,1330,3,3,46.56
Plot  Area,Ready To Move,1st Block Koramangala,4,,1200,5,1,350
Built-up  Area,Not yet Ready,Talaghattapura,3,,1800,3,1,84
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",4,,2872,4,3,183
Super built-up  Area,Ready To Move,Kumarapalli,3,BMmesHo,1486,2,2,65
Built-up  Area,Ready To Move,Chikkalasandra,3,Siourpl,1425,1,0,54
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1255,2,2,42.54
Built-up  Area,Ready To Move,Electronic City,2,Itelaa ,750,2,1,19.5
Super built-up  Area,Ready To Move,Nagarbhavi,2,,1225,2,3,58
Super built-up  Area,Not yet Ready,Badavala Nagar,2,DNncasa,1274,2,1,90
Built-up  Area,Ready To Move,Medahalli,9,,4600,9,,150
Super built-up  Area,Ready To Move,Kathriguppe,3,Prone M,1350,3,2,80.99
Super built-up  Area,Not yet Ready,Mallathahalli,2,Siacen ,1100,2,2,64.08
Super built-up  Area,Ready To Move,Whitefield,3,BrlisCo,1760,3,2,139
Plot  Area,Not yet Ready,Bommasandra,3,,1200,3,2,110
Super built-up  Area,Ready To Move,Basavanapura,7,,1800,5,3,65
Super built-up  Area,Ready To Move,Chandapura,3,Arhid O,1095,2,2,28
Super built-up  Area,Ready To Move,HSR Layout,2,NRosete,1140,2,2,46
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,3,64.86
Super built-up  Area,Not yet Ready,Kundalahalli,3,Dieldli,1724,3,3,140
Super built-up  Area,Not yet Ready,Horamavu Agara,2,,1058,2,2,47
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,56
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3,AlEcone,1975,3,3,90
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,AsastDe,1112,2,1,58
Built-up  Area,Ready To Move,Doddabommasandra,2,,1600,2,1,90
Super built-up  Area,Ready To Move,Vittasandra,3,,1648,3,2,85
Super built-up  Area,Not yet Ready,Puttanahalli,2,,1100,2,2,32
Super built-up  Area,Not yet Ready,Hoskote,1,Arity S,509,1,1,23
Super built-up  Area,Not yet Ready,Talaghattapura,3,Sodgere,2265,3,3,159
Super built-up  Area,Ready To Move,Malleshpalya,2,,1200,2,2,46
Super built-up  Area,Ready To Move,Makali,1,,530,1,1,18
Built-up  Area,Ready To Move,Green View Layout,2,Makeser,1010,2,1,41
Built-up  Area,Ready To Move,Kaggadasapura,2,Mancya ,1150,2,2,45
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Tiare S,1340,2,,75
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Cedusy ,1850,3,1,98
Built-up  Area,Ready To Move,Doddathoguru,2,Srtasno,907,2,1,40
Plot  Area,Ready To Move,Benson Town,2,,1688,2,0,280
Plot  Area,Ready To Move,Ulsoor,2,,1160,2,1,130
Super built-up  Area,Ready To Move,Pai Layout,3,,1600,2,1,65
Plot  Area,Ready To Move,Prasanna layout Herohalli,6,,1800,5,1,140
Super built-up  Area,Ready To Move,Iblur Village,4,Emine P,3596,5,1,251
Super built-up  Area,Ready To Move,Hosur Road,3,,1464,3,2,56
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1295,2,1,62
Super built-up  Area,Ready To Move,Kodbisanhalli,2,Seityen,1012,2,1,62
Super built-up  Area,Ready To Move,Yelahanka New Town,3,,1000,2,1,48
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1010,2,1,32
Super built-up  Area,Ready To Move,Bharathi Nagar,2,FoapeWa,1379,2,1,85
Built-up  Area,Not yet Ready,Kasavanhalli,2,Brersge,1121,2,2,75
Built-up  Area,Ready To Move,LB Shastri Nagar,2,MCrds S,1200,2,1,75
Super built-up  Area,Ready To Move,Sarakki Nagar,4,Sowerew,3124,6,3,349
Super built-up  Area,Not yet Ready,Bannerghatta Road,2,DSnjh S,1246,2,2,47.35
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1420,3,2,90
Carpet  Area,Ready To Move,Shivaji Nagar,2,,600,1,1,65
Super built-up  Area,Ready To Move,Hadosiddapura,2,,1090,2,2,55
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1355,2,1,73
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,SoechHa,1425,2,1,94
Built-up  Area,Ready To Move,Chikkabanavar,8,,4000,7,0,110
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,,1700,3,2,111
Super built-up  Area,Not yet Ready,Talaghattapura,3,Sodgere,2099,3,2,134
Plot  Area,Not yet Ready,Yelahanka,5,,1330,5,0,210
Super built-up  Area,Not yet Ready,Devanahalli,3,Jurdsig,1520,2,1,69.76
Built-up  Area,Ready To Move,Sarvobhogam Nagar,3,RodenGa,1490,3,0,140
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1000,2,2,50
Super built-up  Area,Ready To Move,Sahakara Nagar,2,Saniai ,1291,2,2,72.3
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,67
Super built-up  Area,Ready To Move,Near International Airport,2,PronsAs,1330,2,1,56
Plot  Area,Ready To Move,Ramakrishnappa Layout,4,,9200,4,,2600
Plot  Area,Ready To Move,Pattegarhpalya,8,,1200,8,0,140
Built-up  Area,Ready To Move,Palace Road,2,NantsGa,1650,1,1,130
Plot  Area,Ready To Move,Defence Colony,6,,8000,6,3,2800
Super built-up  Area,Ready To Move,Jakkur,2,,1125,2,1,44.75
Built-up  Area,Ready To Move,CV Raman Nagar,2,,1310,2,1,62
Super built-up  Area,Ready To Move,Bellandur,2,Sririth,1096,2,2,40
Super built-up  Area,Ready To Move,Dasanapura,2,Tavenew,814,2,1,43.7
Plot  Area,Ready To Move,Sarjapur  Road,3,,3500,3,2,275
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,2,44
Super built-up  Area,Ready To Move,Singanayakanahalli,3,,1480,2,0,75
Super built-up  Area,Ready To Move,Hebbal,4,Brium C,4000,6,1,370
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3,Ablmsol,1500,2,3,78
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Asncywo,1850,3,2,89
Super built-up  Area,Ready To Move,Jalahalli West,2,Prntsax,745,2,1,36
Super built-up  Area,Not yet Ready,Whitefield,1,Goted U,613,1,1,48
Plot  Area,Ready To Move,Rajarajeshwari nagar,4,,1200,5,,325
Carpet  Area,Ready To Move,Bannerghatta Road,3,Vemit S,1470,2,1,85
Plot  Area,Ready To Move,Frazer Town,1,,896,1,0,100
Super built-up  Area,Ready To Move,Tilak Nagar,1,,450,2,2,40
Plot  Area,Ready To Move,T Dasarahalli,6,,1200,3,,125
Super built-up  Area,Ready To Move,Bannerghatta Road,2,,1160,2,2,45
Plot  Area,Ready To Move,Laggere,7,,1590,9,3,132
Built-up  Area,Ready To Move,Attibele,1,Jae 1hu,520,1,1,15
Plot  Area,Ready To Move,T Dasarahalli,9,,1178,9,1,75
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,64.99
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2,MJarlPe,1155,2,1,64
Super built-up  Area,Not yet Ready,Chandapura,1,SuVue S,520,1,1,14.04
Super built-up  Area,Ready To Move,Ambalipura,3,Maorai ,1615,2,3,150
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,8,,6000,8,3,215
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,2,39
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3,Sariana,1508,3,1,77
Built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,2395,4,2,150
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2215,4,2,152
Super built-up  Area,Ready To Move,R.T. Nagar,3,SiineSu,1667,3,,130
Built-up  Area,Ready To Move,7th Block Jayanagar,3,Shamzm ,1903,2,1,293
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1530,2,1,108
Super built-up  Area,Ready To Move,Whitefield,3,SJces R,1730,3,2,125
Built-up  Area,Ready To Move,JP Nagar,2,,1048,2,1,44
Super built-up  Area,Ready To Move,Malleshpalya,2,SoncyRe,1225,2,2,52
Carpet  Area,Not yet Ready,Hennur Bande,2,,1200,2,3,70
Super built-up  Area,Ready To Move,Kundalahalli,2,,1175,2,1,65
Super built-up  Area,Ready To Move,Devanahalli,1,Pardsri,1130,,,52.57
Super built-up  Area,Not yet Ready,Electronic City Phase II,3,DSineSt,1651,3,1,49.53
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,Yaenti ,1500,2,3,55
Super built-up  Area,Ready To Move,Doddathoguru,3,SRanail,1783,3,3,85
Super built-up  Area,Ready To Move,Kereguddadahalli,2,Jaood G,1015,2,1,35
Super built-up  Area,Ready To Move,12th cross srinivas nagar banshankari 3rd stage,1,,1800,1,1,200
Built-up  Area,Ready To Move,Sarjapur  Road,4,,2758,4,1,240
Plot  Area,Ready To Move,5th Stage BEML Layout,4,,1200,5,,325
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,,1132,2,1,70
Plot  Area,Ready To Move,KR Puram,2,Anncyar,1200,2,0,75
Built-up  Area,Ready To Move,Hoodi,3,,1490,3,0,85
Built-up  Area,Not yet Ready,Thanisandra,4,Bhmesy ,1917,4,2,130
Super built-up  Area,Ready To Move,Bhoganhalli,3,Prsun S,1703,3,2,120
Super built-up  Area,Ready To Move,Old Madras Road,2,JJr 2e ,1211,2,3,45
Built-up  Area,Ready To Move,Kudlu Gate,2,,1310,2,2,53
Super built-up  Area,Not yet Ready,Marathahalli,2,PrensKe,1146,2,1,69
Super built-up  Area,Ready To Move,Kudlu,2,,1041,2,1,53
Super built-up  Area,Ready To Move,Whitefield,3,SLiritn,1453,2,2,58
Super built-up  Area,Not yet Ready,Whitefield,1,Oreldhi,877,1,1,59
Super built-up  Area,Not yet Ready,Kanakapura,3,GoityEt,1477,2,1,69.5
Built-up  Area,Ready To Move,Frazer Town,2,Saentpa,1420,2,0,120
Plot  Area,Ready To Move,Havanur extension,3,,2000,2,2,360
Built-up  Area,Ready To Move,Abshot Layout,2,Emtat H,1140,1,1,185
Built-up  Area,Ready To Move,Sarjapur  Road,3,,1380,2,2,55
Super built-up  Area,Ready To Move,Maragondanahalli,2,Maa 5a ,1095,2,1,57
Super built-up  Area,Not yet Ready,Hoodi,2,Ranuetz,1384,2,0,59.135
Super built-up  Area,Not yet Ready,Varthur,3,Myple M,1665,3,2,71.58
Super built-up  Area,Ready To Move,KR Puram,2,AeisePV,1245,2,1,60
Super built-up  Area,Not yet Ready,EPIP Zone,4,BrontLa,3360,5,2,221
Plot  Area,Ready To Move,Electronic City,3,SJovest,2010,3,2,201
Super built-up  Area,Ready To Move,Shivaji Nagar,3,,1226,2,2,60
Super built-up  Area,Ready To Move,Uttarahalli,2,Ayaya A,1075,2,1,46.76
Super built-up  Area,Ready To Move,Thanisandra,2,Moity S,1226,2,1,65.59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1,,510,1,1,22
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,60
Plot  Area,Ready To Move,Kothannur,4,,1600,4,2,45
Super built-up  Area,Ready To Move,LB Shastri Nagar,2,ThhtsV ,1000,2,1,49.5
Plot  Area,Ready To Move,Kundalahalli Colony,7,,1400,7,,218
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,2,Sariana,1256,2,1,65
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,6,,1200,5,,130
Built-up  Area,Ready To Move,Sarjapur,3,,1425,3,2,57
Plot  Area,Ready To Move,Margondanahalli,5,,1375,5,1,125
Super built-up  Area,Not yet Ready,Hosur Road,3,PuendWe,1919,3,2,117
Super built-up  Area,Ready To Move,Neeladri Nagar,3,GeereEc,2111,3,2,103
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,970,2,1,57
Super built-up  Area,Ready To Move,VHBCS Layout,2,OlarkLa,1353,2,2,110
Super built-up  Area,Ready To Move,Jalahalli,3,Reodsnc,1405,2,1,85
Super built-up  Area,Ready To Move,Gubbalala,2,MauilTr,1285,2,2,90
Super built-up  Area,Not yet Ready,Mahadevpura,2,,1050,2,1,42
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,96.8
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Maana E,4050,2,1,450
Plot  Area,Not yet Ready,Weavers Colony,1,,812,1,0,26
Super built-up  Area,Not yet Ready,Udayapur Village,3,Plowsri,1440,2,2,63.93
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Puallhi,2425,5,1,195
Super built-up  Area,Ready To Move,Sultan Palaya,4,RSntsAp,2200,3,3,80
Super built-up  Area,Not yet Ready,Haralur Road,3,SNnia E,1810,3,2,112
Super built-up  Area,Ready To Move,Cox Town,2,,1200,2,2,140
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1060,2,1,52
Super built-up  Area,Ready To Move,Kenchenahalli,2,AriosPa,1015,2,2,60
Super built-up  Area,Not yet Ready,Whitefield,4,Prtates,2882,5,0,154.5
Plot  Area,Ready To Move,Hosakerehalli,5,,1500,6,2,145
Super built-up  Area,Ready To Move,Kothanur,3,,1454,3,3,71.5
Super built-up  Area,Ready To Move,Annaiah Reddy Layout,2,,1075,2,2,48
Plot  Area,Ready To Move,Vidyaranyapura,5,,774,5,3,70
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1187,2,2,40.14
Carpet  Area,Ready To Move,Hulimavu,1,,500,1,3,220
Plot  Area,Ready To Move,Rajarajeshwari Nagara,4,,1200,5,,325
Built-up  Area,Ready To Move,Billekahalli,3,,1805,3,3,134
Built-up  Area,Ready To Move,Bannerghatta Road,3,Baanise,1527,3,1,142
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,1675,3,,92.13
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.71
Plot  Area,Ready To Move,Ramamurthy Nagar,7,,1500,9,2,250
Super built-up  Area,Ready To Move,Bellandur,2,,1262,2,2,47
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345,2,1,57
Super built-up  Area,Ready To Move,Green Glen Layout,3,SoosePr,1715,3,3,112
Built-up  Area,Ready To Move,Whitefield,5,ArsiaEx,3453,4,0,231
Super built-up  Area,Ready To Move,Richards Town,4,,3600,5,,400
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Mahla T,1141,2,1,60
Super built-up  Area,Not yet Ready,Padmanabhanagar,4,SollyCl,4689,4,1,488
Super built-up  Area,Ready To Move,Doddathoguru,1,,550,1,1,17
